,index,state_code,alimentary_poverty,extreme_poverty,median_income,lack_basic_services,lack_health_services,state_name,year
18,18,19,0.14378180847430524,0.04298152392197391,15313.027369912072,0.027304336761038533,0.13323702253895367,NUEVO LEON,2016
19,19,20,0.3137289370251257,0.3309541445536677,6211.616337442253,0.6198425110742785,0.15876032468708792,OAXACA,2016
20,20,21,0.20096629728566417,0.17663612562339273,8389.283182900826,0.25717418708417744,0.17378149431391168,PUEBLA,2016
21,21,22,0.1337814882881028,0.06778482811838452,13500.188725972735,0.12748209165566451,0.1317507861493037,QUERETARO,2016
22,22,23,0.16393596011571715,0.09880269473129188,12622.966717687466,0.1950537745775359,0.17626386145955197,QUINTANA ROO,2016
23,23,24,0.20104205886712154,0.14861985905606628,9553.382446444084,0.2472519846626445,0.09090293045536262,SAN LUIS POTOSI,2016
24,24,25,0.22743085839806726,0.07334628861720197,11999.530617071265,0.1278536903007088,0.12210304041130476,SINALOA,2016
25,25,26,0.20967141849393636,0.05845176563591237,12697.835218957744,0.09725397882601336,0.1468693009546088,SONORA,2016
26,26,27,0.4528638213865435,0.18469370475878139,8518.851298899443,0.4879721859613699,0.13408484396401493,TABASCO,2016
27,27,28,0.1924394089820709,0.10029784500379606,11407.9454580975,0.09744787712433568,0.1275474507971734,TAMAULIPAS,2016
28,28,29,0.22154524608624263,0.18348185218154425,8889.544966650128,0.10714353117323075,0.1252457402403772,TLAXCALA,2016
29,29,30,0.22212283946634734,0.2483917206669919,7099.876446820963,0.3920441461743391,0.19428718168156642,VERACRUZ,2016
30,30,31,0.19282373602506014,0.12052821448308398,10258.141673944445,0.3547674315511041,0.1441050181386531,YUCATAN,2016
31,31,32,0.15064286086096507,0.19498555358281808,8138.457869556928,0.10743719242176138,0.11476043155496381,ZACATECAS,2016
32,0,1,0.12986433507591208,0.07045433701211071,15361.853950613448,0.024928193235533466,0.11403700323039453,AGUASCALIENTES,2018
33,1,2,0.1414836557975772,0.040276536709466175,15309.1043842713,0.08932755983016848,0.16860460150764445,BAJA CALIFORNIA,2018
34,2,3,0.17838552956910844,0.03276946158919342,17281.580555810568,0.13243103344080004,0.10745487843650399,BAJA CALIFORNIA SUR,2018
35,3,4,0.27441180180763763,0.16928107026330413,10940.9777652519,0.38995241683173604,0.11695890482570832,CAMPECHE,2018
36,4,5,0.1826663265901582,0.0657153048197977,14099.175017976217,0.038819864576988314,0.1320157991328049,COAHUILA,2018
37,5,6,0.21629994285722193,0.07468132178302071,13860.131028071608,0.10543880257516074,0.10835820358602063,COLIMA,2018
38,6,7,0.22343005570142002,0.4935624720107479,5664.506494626202,0.5711117967489782,0.1759250869070959,CHIAPAS,2018
39,7,8,0.17701691370682454,0.08242074458333616,13492.708132651129,0.050199012744691976,0.1130476584938585,CHIHUAHUA,2018
40,8,9,0.13870864053242501,0.06363868276045202,15154.105668687176,0.02918196545509469,0.20057932233770634,DISTRITO FEDERAL,2018
41,9,10,0.18766122830346638,0.13127635012909433,11349.079472016569,0.05658928452750019,0.13062850485688485,DURANGO,2018
42,10,11,0.2069131815855733,0.10731694144905697,12378.426593308734,0.11946826594342685,0.13659422413628453,GUANAJUATO,2018
43,11,12,0.35572270196202194,0.36386007945335724,6860.029431978487,0.5863719971715929,0.13775016079574345,GUERRERO,2018
44,12,13,0.2273324883908052,0.14526941746296365,9834.124591016282,0.2562838218047762,0.14432773164485066,HIDALGO,2018
45,13,14,0.1510915148242969,0.058522412350963705,15257.088426207609,0.08120496162673128,0.19351052131428642,JALISCO,2018
46,14,15,0.1983496297695917,0.10783806282879105,12006.24265366319,0.10325949693100664,0.19744743497289916,MEXICO,2018
47,15,16,0.21059394340536594,0.1278166345703765,10819.458307881212,0.1767199630340019,0.21194368308309816,MICHOACAN,2018
48,16,17,0.24591324832502662,0.1473411086945779,10751.934824231244,0.19929572406077437,0.16813263455954988,MORELOS,2018
49,17,18,0.18899075962252912,0.11206535365801766,12300.428675093191,0.17223827931929547,0.13654351618784513,NAYARIT,2018
50,18,19,0.12193848861541771,0.04233801128480521,16432.806012576446,0.023852899877977545,0.12959878711788925,NUEVO LEON,2018
51,19,20,0.2791710009722834,0.30431946655315034,7302.920420550315,0.5827684996157831,0.1625649396394857,OAXACA,2018
52,20,21,0.20842445468878154,0.17780845141852805,9781.199353632692,0.2648716924318557,0.20803513144253916,PUEBLA,2018
53,21,22,0.13871163647437312,0.05057314603378756,14935.394815649148,0.1267445000826793,0.11834110936500637,QUERETARO,2018
54,22,23,0.17922019218070226,0.07144305725247575,14730.111826118076,0.21782321563660617,0.15634174766294717,QUINTANA ROO,2018
55,23,24,0.1695239630560636,0.14687661387195167,11328.879582383342,0.2640808098676946,0.08957577815377328,SAN LUIS POTOSI,2018
56,24,25,0.24524647287719864,0.05253437972255816,13678.47674928086,0.14917891345852696,0.13160356789164637,SINALOA,2018
57,25,26,0.2153268456921337,0.05816766382924205,14970.497350262807,0.10723033560042596,0.12633232446104314,SONORA,2018
58,26,27,0.46775603401416327,0.19545928334907123,9004.245230452503,0.46005136446366995,0.12647527007343698,TABASCO,2018
59,27,28,0.16732676644161462,0.11945508307397942,11598.335203336845,0.08890582407765399,0.11981620575279892,TAMAULIPAS,2018
60,28,29,0.20236817738642007,0.12693464517197187,10732.227054886274,0.10129216514695331,0.1373513757136112,TLAXCALA,2018
61,29,30,0.26980981379841706,0.2624154748282672,8000.05014937334,0.420830639349948,0.1674523401071011,VERACRUZ,2018
62,30,31,0.19403566566500827,0.11538980367377294,11715.002800250628,0.384443795604891,0.14063345870333457,YUCATAN,2018
63,31,32,0.16633931318288486,0.14692528107727668,9674.069536375466,0.1044679572214096,0.11682588653162743,ZACATECAS,2018
64,0,1,0.17448351533517947,0.08578504624066043,15472.503120092477,0.02059390076109863,0.20197223818729645,AGUASCALIENTES,2020
65,1,2,0.12662982233958658,0.051797006645087226,16255.17892980822,0.04980485474046526,0.23981328002604757,BAJA CALIFORNIA,2020
66,2,3,0.2271051093862535,0.08855536517058672,15400.90248878688,0.09430850518424996,0.17396299558600617,BAJA CALIFORNIA SUR,2020
67,3,4,0.245257219159219,0.227546486260353,10611.7109177524,0.3340762290144453,0.21009467907655535,CAMPECHE,2020
68,4,5,0.15217527759719726,0.08916482222203297,14783.343984122062,0.03200328293796452,0.2163745678290374,COAHUILA,2020
69,5,6,0.16599562381115124,0.062538380156557,15228.1577635735,0.07859711422070752,0.18977191804789845,COLIMA,2020
70,6,7,0.21123649961681873,0.4414258852990478,6473.7553592659,0.558450623309376,0.37093556720312043,CHIAPAS,2020
71,7,8,0.129791956250983,0.08957985300806373,14645.312598732018,0.04855824204785527,0.17054869054754285,CHIHUAHUA,2020
72,8,9,0.15911975399117204,0.11787154661514933,15120.533302840302,0.030537482019651445,0.2675366565360596,DISTRITO FEDERAL,2020
